GrPetYear,pe,shr,rvn,opInm,eps,tAssts,tEqu,bvps,ROtA,5meanROtA,cur,old
INSET.BK,14.98,6.06,19.88,10.43,3.96,30.28,44.85,42.28,7.26,12.37,THB,2017
INSEW,-0.01,53.12,-100.0,0.0,190.35,31.86,0.0,0.0,0.0,-17.61,USD,2014
INSG,-1.56,13.64,-3.4,2.69,-7.57,4.03,0.0,0.0,-71.01,-27.86,USD,2013
INSG.L,-3.95,9.4,40.2,0.0,0.0,124.96,119.18,108.93,-483.26,-483.26,GBP,2019
INSI,0.0,-100.0,0.0,-100.0,-100.0,-3.12,-3.14,-3.14,-3.35,2.14,USD,2018
INS.L,29.94,8.07,20.06,23.2,18.67,19.39,30.17,27.92,13.67,8.89,GBP,2013
INSM,-5.15,15.0,40.5,27.16,10.44,28.25,-5.28,-4.59,-33.17,-50.8,USD,2013
INSP,-210.43,12.3,75.32,13.35,-0.96,87.22,0.0,0.0,-7.95,-13.06,USD,2015
INSPIRISYS.NS,-123.65,-100.0,-0.85,-6.04,-100.0,-6.2,0.0,0.0,-6.45,1.02,INR,2014
INSP.L,-4.91,57.95,-100.0,-2.69,-37.0,15.5,50.25,31.82,-79.79,-151.57,GBP,2013
INSP.ST,-1.1,59.58,-100.0,-100.0,-100.0,27.77,68.19,42.73,-96.3,-63.93,SEK,2013
INSR.OL,-0.16,31.85,16.23,-100.0,-13.07,6.38,-9.28,-7.04,0.0,-6.14,NOK,2012
INST,-88.33,38.49,33.37,-18.0,-32.64,63.84,124.51,89.91,-9.94,-25.51,USD,2016
INSTAL.ST,23.56,1.36,36.46,48.64,44.68,39.63,28.64,28.26,11.76,17.69,SEK,2015
INSU,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,0.86,USD,2019
INSURE.BK,7.45,0.1,19.62,-100.0,0.0,24.97,22.05,22.03,6.73,-2.44,THB,2013
INSUU,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,0.86,USD,2019
INSUW,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,0.86,USD,2019
INSW,3.3,6.14,4.43,0.0,0.0,3.18,0.84,0.8,14.83,-2.02,USD,2013
INSW-PA,22.31,0.0,207.2,533.34,-402.68,15.69,-100.0,-100.0,0.0,-1.03,USD,2020
INSY,0.0,31.06,-3.74,0.0,0.0,13.87,0.0,0.0,0.0,-64.67,USD,2013
INT,13.64,-1.49,3.98,0.37,-4.8,6.23,1.91,1.94,1.73,2.78,USD,2013
INTA,-32.63,29.9,23.85,170.93,38.77,10.52,525.62,404.63,-56.35,-38.72,USD,2019
INTA.JK,-2.44,2.99,-14.0,-16.78,-11.17,-8.24,0.0,0.0,-4.52,-11.29,IDR,2013
INTB,0.0,13.11,-100.0,-100.0,-100.0,-100.0,41.27,36.48,0.0,-146.51,USD,2010
INTB3.SA,15.87,0.0,23.09,20.55,21.29,32.61,33.83,33.83,10.74,12.36,BRL,2017
INTC,-46.3,-2.33,2.01,0.0,0.06,7.84,6.35,6.51,5.4,19.71,USD,2013
INTE,88.02,-75.0,-100.0,190.35,318.01,0.35,-1.3,-5.19,-1.21,-0.76,USD,2021
INTEG-B.ST,-33.24,9.04,20.82,0.0,-100.0,61.07,102.75,94.24,14.27,-54.62,SEK,2015
INTEGRA.NS,-92.65,129.73,-100.0,60.36,-25.89,5.38,0.0,0.0,0.0,-1411.14,INR,2012
INTELLECT.NS,30.85,3.82,17.46,0.0,0.0,15.24,16.55,15.94,17.52,8.0,INR,2015
INTENTECH.NS,12.28,-100.0,8.58,5.43,-100.0,9.42,8.69,8.69,17.61,8.34,INR,2014
INTEQ,-0.0,6.12,-3.3,-15.06,2.33,-3.33,19.42,18.3,0.0,-9.57,USD,2011
INTER.AS,27.29,5.81,13.54,12.81,8.28,18.32,39.32,37.16,0.0,24.28,EUR,2012
INTEU,317.95,-80.0,-100.0,190.35,424.19,0.35,-1.3,-6.48,-1.21,-0.76,USD,2021
INTEW,2.99,-80.0,-100.0,190.35,424.19,0.35,-1.3,-6.48,-1.21,-0.76,USD,2021
INTG,-22.42,-0.87,-2.99,-8.73,0.0,-1.52,0.0,0.0,-8.42,2.36,USD,2013
INTI,0.24,39.88,-100.0,-11.62,0.0,119.28,0.0,0.0,101.09,-364.78,USD,2013
INTL,2.32,0.36,-3.63,10.46,17.42,19.88,11.15,11.11,0.0,0.78,USD,2011
INTLCONV.NS,17.46,0.0,6.25,8.57,4.98,8.31,12.49,12.49,5.32,-0.15,INR,2013
INTM,0.0,0.0,4.63,-111.39,283.33,0.78,-14.22,-14.22,0.0,-11.94,USD,2019
IN.TO,-1.61,31.78,-100.0,57.3,18.14,80.83,140.73,106.79,0.0,-54.05,CAD,2012
INTO.BR,20.72,6.58,7.51,-1.8,-1.87,10.35,10.32,9.68,3.62,4.59,EUR,2013
INTO.L,-112.15,21.21,-76.99,-66.99,-70.09,-10.97,43.33,35.74,0.0,-31.17,EUR,2018
INTP.JK,16.72,-0.62,-1.49,-10.07,-9.96,-0.38,-1.76,-1.77,7.17,5.21,IDR,2013
INTR,138.64,0.02,46.21,-100.0,0.0,51.52,54.28,54.26,-0.03,0.72,BRL,2015
INTS,-25.63,1.9,-100.0,18.83,21.77,-23.58,91.18,89.48,0.0,-87.85,USD,2019
INT.ST,98.21,6.16,324.02,45.55,44.22,346.14,168.94,159.13,-11.17,-28.26,SEK,2019
INTT,25.32,0.46,12.83,11.7,11.36,13.4,8.51,8.47,12.1,7.61,USD,2013
INTU,57.46,-0.72,13.2,8.51,10.98,19.73,18.64,18.77,29.78,32.18,USD,2013
INTUCH.BK,21.98,0.0,-52.37,-4.58,-3.55,-1.83,4.8,4.8,24.47,23.71,THB,2013
INTV,-1.05,107.55,-100.0,31.44,-35.96,210.38,0.0,0.0,-3.67,-565.87,USD,2012
INTX,0.0,3.67,-8.69,-9.23,-6.87,-15.04,-43.51,-41.97,0.0,0.0,USD,2008
INTZ,-1.61,3.68,-0.2,0.0,0.0,16.12,19.32,18.63,-156.72,2.04,USD,2013
INUV,-1.92,19.97,3.6,0.0,0.0,4.02,16.88,14.07,-67.63,-54.23,USD,2013
INVA,3.33,-0.8,60.24,0.0,0.0,6.8,7.34,7.4,22.47,54.75,USD,2013
INV.AX,-21.67,16.26,0.0,-20.46,-32.98,-1.91,-8.71,-7.49,-7.21,-2.81,AUD,2013
INVE,-89.69,14.63,4.56,-43.77,-47.06,6.41,12.32,10.75,-0.45,-7.03,USD,2013
INVE-A.ST,23.33,0.06,0.0,0.0,0.0,11.72,12.16,12.15,-11.93,4.95,SEK,2013
INVE-B.ST,23.5,0.06,0.0,0.0,0.0,11.72,12.16,12.15,-11.93,4.95,SEK,2013
INVENTURE.NS,16.34,-100.0,8.29,-1.2,-100.0,2.45,2.29,2.29,4.95,2.08,INR,2014
INVEST.HE,10.51,17.3,31.15,94.95,32.4,26.96,23.98,20.45,6.65,2.04,EUR,2013
INVH,51.58,9.21,16.52,0.0,0.0,9.15,19.61,17.96,2.1,0.7,USD,2014
INV.L,-61.8,10.99,-20.18,0.0,0.0,2.1,5.66,5.1,-1.54,4.33,GBP,2013
INVN,0.0,18.21,28.6,-50.18,0.0,33.96,20.97,17.74,0.0,0.0,USD,2012
INVO,-0.22,18.68,46.13,37.49,13.28,47.72,-14.04,-11.83,-265.43,-294.23,USD,2013
INVOD,0.0,4.85,235.46,31.66,-22.45,32.66,-0.29,-0.28,0.0,-345.69,USD,2015
INVP.L,4.79,-0.29,1.69,24.88,10.72,2.19,3.54,3.55,0.93,0.87,GBP,2014
INVR.L,0.0,-100.0,-0.53,-0.99,-100.0,1.6,3.78,3.78,0.88,0.82,GBP,2013
INVT,-0.01,52.87,-8.55,0.0,0.0,5.07,-18.59,-12.16,0.0,0.0,USD,2006
INV.TO,-11.58,34.74,-100.0,-1.49,-26.93,11.67,11.62,8.62,0.0,-5.38,CAD,2011
INVU,-5.11,100.95,49.48,0.0,-48.43,56.45,0.0,0.0,-36.39,-387.22,USD,2013
